Choose hometown or travel,age,job,back home frequency,location of work (school),hometown location,distance between the above two,interpersonal relationship,family relationship,gender,financial situation(income),have boy/girlfriend/husband/wife,transportation
back hometown,23,office worker,two to three months,north,west,150-200km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,no,drive or ride by yourself
back hometown,30,office worker,once every two weeks(or less),north,west,150-200km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,yes,HSR or airplane
travel,22,office worker,three months to half a year,north,south,150-200km,attend friend gatherings occasionally (1-2 times a week),not good,female,zero,no,drive or ride by yourself
back hometown,25,student,two to three months,north,north,100-150km,attend friend gatherings (more than twice a week),normal,male,zero,no,train bus or ship
travel,26,office worker,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,female,0-30000,no,drive or ride by yourself
back hometown,26,office worker,half a year to one year,south,west,below 50 km,never or seldom,normal,female,zero,yes,train bus or ship
back hometown,23,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,no,train bus or ship
back hometown,22,student(part-time),about a month,north,south,over 200 km,attend friend gatherings (more than twice a week),good,female,0-30000,yes,HSR or airplane
back hometown,26,office worker,three months to half a year,east,north,100-150km,attend friend gatherings (more than twice a week),good,male,0-30000,yes,train bus or ship
back hometown,24,student,about a month,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,yes,HSR or airplane
back hometown,22,student,about a month,north,south,over 200 km,never or seldom,normal,male,0-30000,no,train bus or ship
back hometown,19,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,22,student,about a month,north,north,50-100km,never or seldom,good,male,zero,no,train bus or ship
back hometown,17,student,two to three months,east,west,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,female,zero,no,train bus or ship
back hometown,21,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings (more than twice a week),normal,male,zero,no,train bus or ship
back hometown,23,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,yes,drive or ride by yourself
back hometown,19,student(part-time),about a month,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,female,0-30000,yes,train bus or ship
back hometown,25,office worker,once every two weeks(or less),north,west,100-150km,attend friend gatherings occasionally (1-2 times a week),normal,female,0-30000,yes,train bus or ship
back hometown,24,office worker,about a month,north,west,50-100km,attend friend gatherings (more than twice a week),good,male,0-30000,no,train bus or ship
back hometown,24,student(part-time),once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,female,0-30000,yes,train bus or ship
back hometown,19,student,about a month,north,west,100-150km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,train bus or ship
back hometown,19,student,two to three months,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,20,student,about a month,north,north,below 50 km,attend friend gatherings (more than twice a week),good,male,0-30000,yes,train bus or ship
back hometown,22,office worker,about a month,north,west,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,no,train bus or ship
back hometown,28,student,once every two weeks(or less),north,north,50-100km,never or seldom,normal,male,zero,no,train bus or ship
back hometown,22,student(part-time),about a month,north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,female,0-30000,yes,drive or ride by yourself
back hometown,26,office worker,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,no,drive or ride by yourself
travel,22,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,no,drive or ride by yourself
back hometown,25,office worker,about a month,north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,no,train bus or ship
back hometown,23,student(part-time),once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,no,train bus or ship
back hometown,23,student,once every two weeks(or less),west,north,100-150km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,23,student(part-time),once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,female,0-30000,no,train bus or ship
back hometown,22,student,about a month,north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,yes,train bus or ship
back hometown,18,student,about a month,north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,yes,train bus or ship
back hometown,21,student,once every two weeks(or less),south,south,below 50 km,attend friend gatherings (more than twice a week),good,female,zero,no,train bus or ship
back hometown,22,student,two to three months,north,west,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,female,0-30000,no,train bus or ship
travel,30,office worker,half a year to one year,north,north,below 50 km,never or seldom,normal,male,zero,no,train bus or ship
travel,30,office worker,half a year to one year,north,north,below 50 km,never or seldom,normal,female,0-30000,yes,train bus or ship
back hometown,19,student,once every two weeks(or less),west,north,50-100km,never or seldom,normal,female,zero,no,train bus or ship
back hometown,20,student,two to three months,north,south,over 200 km,attend friend gatherings (more than twice a week),good,female,zero,yes,HSR or airplane
travel,19,student,once every two weeks(or less),west,north,50-100km,never or seldom,normal,female,zero,no,drive or ride by yourself
back hometown,23,student,about a month,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,HSR or airplane
back hometown,23,student,two to three months,north,west,over 200 km,never or seldom,normal,male,zero,yes,HSR or airplane
back hometown,21,student,two to three months,north,south,over 200 km,never or seldom,normal,male,zero,no,train bus or ship
back hometown,22,student,about a month,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,HSR or airplane
back hometown,22,student(part-time),about a month,west,west,below 50 km,attend friend gatherings (more than twice a week),good,male,0-30000,no,HSR or airplane
back hometown,24,office worker,two to three months,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,female,0-30000,no,HSR or airplane
back hometown,30,office worker,once every two weeks(or less),west,west,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,no,train bus or ship
back hometown,30,office worker,about a month,west,north,100-150km,never or seldom,normal,male,0-30000,yes,drive or ride by yourself
back hometown,24,student,once every two weeks(or less),west,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,yes,train bus or ship
